# number of input values: 400
#n_vals=400
# max_t=2.000000e+04, dt=5.000000e+01
#maximum blocking level=7, 16 values in results
#time	 product(acf)
0.000000e+00	 0.000000e+00	 2000 	 2000
5.000000e+01	 1.523193e+02	 1995 	 1995
1.000000e+02	 2.988723e+02	 1990 	 1990
1.500000e+02	 4.534517e+02	 1985 	 1985
2.000000e+02	 6.042405e+02	 990 	 990
3.000000e+02	 9.236233e+02	 985 	 985
4.000000e+02	 1.223571e+03	 490 	 490
6.000000e+02	 1.898266e+03	 485 	 485
8.000000e+02	 2.456635e+03	 240 	 240
1.200000e+03	 3.693331e+03	 235 	 235
1.600000e+03	 5.375029e+03	 115 	 115
2.400000e+03	 7.857585e+03	 110 	 110
3.200000e+03	 7.595503e+03	 50 	 50
4.800000e+03	 1.191698e+04	 45 	 45
6.400000e+03	 1.458438e+04	 20 	 20
9.600000e+03	 2.541436e+04	 15 	 15
