# number of input values: 400
#n_vals=400
# max_t=2.000000e+04, dt=5.000000e+01
#maximum blocking level=6, 28 values in results
#time	 product(acf)
0.000000e+00	 0.000000e+00	 2000 	 2000
5.000000e+01	 1.523193e+02	 1995 	 1995
1.000000e+02	 2.988723e+02	 1990 	 1990
1.500000e+02	 4.534517e+02	 1985 	 1985
2.000000e+02	 6.038479e+02	 1980 	 1980
2.500000e+02	 7.633448e+02	 1975 	 1975
3.000000e+02	 9.241023e+02	 1970 	 1970
3.500000e+02	 1.085873e+03	 1965 	 1965
4.000000e+02	 1.260153e+03	 980 	 980
5.000000e+02	 1.606463e+03	 975 	 975
6.000000e+02	 1.943672e+03	 970 	 970
7.000000e+02	 2.269753e+03	 965 	 965
8.000000e+02	 2.543195e+03	 480 	 480
1.000000e+03	 3.165820e+03	 475 	 475
1.200000e+03	 3.787020e+03	 470 	 470
1.400000e+03	 4.419492e+03	 465 	 465
1.600000e+03	 4.994269e+03	 230 	 230
2.000000e+03	 6.248132e+03	 225 	 225
2.400000e+03	 7.478766e+03	 220 	 220
2.800000e+03	 8.691223e+03	 215 	 215
3.200000e+03	 9.747704e+03	 105 	 105
4.000000e+03	 1.211641e+04	 100 	 100
4.800000e+03	 1.457995e+04	 95 	 95
5.600000e+03	 1.657215e+04	 90 	 90
6.400000e+03	 1.855653e+04	 40 	 40
8.000000e+03	 2.353707e+04	 35 	 35
9.600000e+03	 2.963494e+04	 30 	 30
1.120000e+04	 3.607497e+04	 25 	 25
